Date,Open,High,Low,Close,Previous Close,Change,Percent Change,Index Name,Fund Name
2026-04-06,22780.3,22998.35,22542.95,22968.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-07,22838.7,23153.85,22719.3,23123.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-08,23855.15,24025.15,23828.5,23997.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-09,23909.05,23990.75,23682.8,23775.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-10,23880.55,24074.05,23856.35,24050.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-13,23589.6,23907.4,23555.6,23842.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-15,24163.8,24280.9,24145.8,24231.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-16,24385.2,24400.95,24102.8,24196.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-17,24165.9,24371.9,24096.05,24353.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-20,24391.5,24480.65,24241.25,24364.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-21,24374.55,24601.7,24354.9,24576.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-22,24470.85,24515.95,24352.9,24378.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-23,24202.35,24310.2,24134.8,24173.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-24,24100.55,24206.0,23813.65,23897.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-27,23945.45,24130.7,23936.2,24092.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-28,24049.9,24181.8,23957.05,23995.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-29,24096.9,24334.7,24059.95,24177.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-30,23996.95,24087.45,23796.85,23997.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-01,11981.16,12018.38,11922.12,12016.67,12000.0,16.67,0.1389,NIFTY 50,NIFTY 50
2026-05-04,24063.55,24290.2,24004.75,24119.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-05,24052.6,24081.7,23882.05,24032.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-06,24171.0,24356.5,23997.9,24330.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-07,24398.5,24482.1,24284.0,24326.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-08,24233.65,24253.8,24126.65,24176.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-11,23970.1,23997.45,23799.1,23815.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-12,23722.6,23757.55,23348.4,23379.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-13,23362.45,23582.95,23262.55,23412.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-14,23530.25,23777.2,23426.55,23689.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-15,23731.4,23839.3,23610.3,23643.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-18,23482.2,23695.65,23317.1,23649.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-19,23675.3,23782.3,23587.2,23618.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-20,23457.25,23690.9,23397.3,23659.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-21,23830.05,23859.9,23596.6,23654.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-22,23671.2,23835.65,23671.0,23719.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-25,23940.25,24054.45,23922.85,24031.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-26,24004.1,24089.8,23885.45,23913.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-27,23880.35,23983.2,23858.25,23907.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-05-29,23902.15,24002.8,23484.75,23547.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-06-01,23654.5,23733.7,23357.95,23382.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
